Original
ID;Type;Model Type;Kind;Model Name
mFpqa66D.AACAROj;Shape;Dependency;UPDATE;"<XMLRPCConnector -> BSAccess, ObjectToSend -> CourseOffering, ObjectToReceive -> CourseOffering, CustomTypeFactory -> CourseOfferingFactory, CustomSerializer -> CourseOfferingSerializer, CustomParser -> CourseOfferingParser>"
_J9ga66D.AACASJx;Diagram;PackageDiagram;UPDATE;"BSAccess"
D69ga66D.AACASAm;Model Element;Package;UPDATE;"BSAccess"
MFpqa66D.AACAROi;Model Element;Dependency;UPDATE;"<XMLRPCConnector -> BSAccess, ObjectToSend -> CourseOffering, ObjectToReceive -> CourseOffering, CustomTypeFactory -> CourseOfferingFactory, CustomSerializer -> CourseOfferingSerializer, CustomParser -> CourseOfferingParser>"
mFpqa66D.AACAROj;Shape;Dependency;UPDATE;"<XMLRPCConnector -> BSAccess, ObjectToSend -> CourseOffering, ObjectToReceive -> CourseOffering, CustomTypeFactory -> CourseOfferingFactory, CustomSerializer -> CourseOfferingSerializer, CustomParser -> CourseOfferingParser>"
7fb4r_qGAqACKyhh;Model Element;Package;UPDATE;"XMLRPCInterchange"
MFpqa66D.AACAROi;Model Element;Dependency;UPDATE;"<XMLRPCConnector -> BSAccess, ObjectToSend -> CourseOffering, ObjectToReceive -> CourseOffering, CustomTypeFactory -> CourseOfferingFactory, CustomSerializer -> CourseOfferingSerializer, CustomParser -> CourseOfferingParser>"
mFpqa66D.AACAROj;Shape;Dependency;UPDATE;"<XMLRPCConnector -> BSAccess, ObjectToSend -> CourseOffering, ObjectToReceive -> CourseOffering, CustomTypeFactory -> CourseOfferingFactory, CustomSerializer -> CourseOfferingSerializer, CustomParser -> CourseOfferingParser>"
_J9ga66D.AACASJx;Diagram;PackageDiagram;UPDATE;"BSAccess"
mFpqa66D.AACAROj;Shape;Dependency;UPDATE;"<XMLRPCConnector -> BSAccess, ObjectToSend -> CourseOffering, ObjectToReceive -> CourseOffering, CustomTypeFactory -> CourseOfferingFactory, CustomSerializer -> CourseOfferingSerializer, CustomParser -> CourseOfferingParser>"
Wo5qa66D.AACAROr;Model Element;Stereotype;ADD;"bind"
Wo5qa66D.AACAROr;Model Element;Stereotype;UPDATE;"bind"
MFpqa66D.AACAROi;Model Element;Dependency;UPDATE;"<XMLRPCConnector -> BSAccess, ObjectToSend -> CourseOffering, ObjectToReceive -> CourseOffering, CustomTypeFactory -> CourseOfferingFactory, CustomSerializer -> CourseOfferingSerializer, CustomParser -> CourseOfferingParser>"
mFpqa66D.AACAROj;Shape;Dependency;UPDATE;"<XMLRPCConnector -> BSAccess, ObjectToSend -> CourseOffering, ObjectToReceive -> CourseOffering, CustomTypeFactory -> CourseOfferingFactory, CustomSerializer -> CourseOfferingSerializer, CustomParser -> CourseOfferingParser>"
_J9ga66D.AACASJx;Diagram;PackageDiagram;UPDATE;"BSAccess"
mFpqa66D.AACAROj;Shape;Dependency;UPDATE;"<XMLRPCConnector -> BSAccess, ObjectToSend -> CourseOffering, ObjectToReceive -> CourseOffering, CustomTypeFactory -> CourseOfferingFactory, CustomSerializer -> CourseOfferingSerializer, CustomParser -> CourseOfferingParser>"
NkRqa66D.AACAROU;Shape;Dependency;UPDATE;"(no name)"
mFpqa66D.AACAROj;Shape;Dependency;UPDATE;"<XMLRPCConnector -> BSAccess, ObjectToSend -> CourseOffering, ObjectToReceive -> CourseOffering, CustomTypeFactory -> CourseOfferingFactory, CustomSerializer -> CourseOfferingSerializer, CustomParser -> CourseOfferingParser>"
MFpqa66D.AACAROi;Model Element;Dependency;MOVE;"<XMLRPCConnector -> BSAccess, ObjectToSend -> CourseOffering, ObjectToReceive -> CourseOffering, CustomTypeFactory -> CourseOfferingFactory, CustomSerializer -> CourseOfferingSerializer, CustomParser -> CourseOfferingParser>"
mFpqa66D.AACAROj;Shape;Dependency;UPDATE;"<XMLRPCConnector -> BSAccess, ObjectToSend -> CourseOffering, ObjectToReceive -> CourseOffering, CustomTypeFactory -> CourseOfferingFactory, CustomSerializer -> CourseOfferingSerializer, CustomParser -> CourseOfferingParser>"
MFpqa66D.AACAROi;Model Element;Dependency;UPDATE;"<XMLRPCConnector -> BSAccess, ObjectToSend -> CourseOffering, ObjectToReceive -> CourseOffering, CustomTypeFactory -> CourseOfferingFactory, CustomSerializer -> CourseOfferingSerializer, CustomParser -> CourseOfferingParser>"
mFpqa66D.AACAROj;Shape;Dependency;UPDATE;"<XMLRPCConnector -> BSAccess, ObjectToSend -> CourseOffering, ObjectToReceive -> CourseOffering, CustomTypeFactory -> CourseOfferingFactory, CustomSerializer -> CourseOfferingSerializer, CustomParser -> CourseOfferingParser>"
_J9ga66D.AACASJx;Diagram;PackageDiagram;UPDATE;"BSAccess"
MFpqa66D.AACAROi;Model Element;Dependency;UPDATE;"<XMLRPCConnector -> BSAccess, ObjectToSend -> CourseOffering, ObjectToReceive -> CourseOffering, CustomTypeFactory -> CourseOfferingFactory, CustomSerializer -> CourseOfferingSerializer, CustomParser -> CourseOfferingParser>"
mFpqa66D.AACAROj;Shape;Dependency;UPDATE;"<XMLRPCConnector -> BSAccess, ObjectToSend -> CourseOffering, ObjectToReceive -> CourseOffering, CustomTypeFactory -> CourseOfferingFactory, CustomSerializer -> CourseOfferingSerializer, CustomParser -> CourseOfferingParser>"
_J9ga66D.AACASJx;Diagram;PackageDiagram;UPDATE;"BSAccess"
MFpqa66D.AACAROi;Model Element;Dependency;UPDATE;"<XMLRPCConnector -> BSAccess, ObjectToSend -> CourseOffering, ObjectToReceive -> CourseOffering, CustomTypeFactory -> CourseOfferingFactory, CustomSerializer -> CourseOfferingSerializer, CustomParser -> CourseOfferingParser>"
mFpqa66D.AACAROj;Shape;Dependency;UPDATE;"<XMLRPCConnector -> BSAccess, ObjectToSend -> CourseOffering, ObjectToReceive -> CourseOffering, CustomTypeFactory -> CourseOfferingFactory, CustomSerializer -> CourseOfferingSerializer, CustomParser -> CourseOfferingParser>"
_J9ga66D.AACASJx;Diagram;PackageDiagram;UPDATE;"BSAccess"
mFpqa66D.AACAROj;Shape;Dependency;UPDATE;"<XMLRPCConnector -> BSAccess, ObjectToSend -> CourseOffering, ObjectToReceive -> CourseOffering, CustomTypeFactory -> CourseOfferingFactory, CustomSerializer -> CourseOfferingSerializer, CustomParser -> CourseOfferingParser>"
_J9ga66D.AACASJx;Diagram;PackageDiagram;UPDATE;"BSAccess"
mFpqa66D.AACAROj;Shape;Dependency;UPDATE;"<XMLRPCConnector -> BSAccess, ObjectToSend -> CourseOffering, ObjectToReceive -> CourseOffering, CustomTypeFactory -> CourseOfferingFactory, CustomSerializer -> CourseOfferingSerializer, CustomParser -> CourseOfferingParser>"
_J9ga66D.AACASJx;Diagram;PackageDiagram;UPDATE;"BSAccess"
